time,flux,flux_err
2114.75501,0.99603,0.000606
2114.82515,0.99536,0.000633
2114.89529,0.9947,0.000625
2114.96543,0.99384,0.000553
2115.03557,0.99326,0.000549
2115.10571,0.9926,0.000524
2115.17584,0.99148,0.000508
2115.24598,0.99048,0.000493
2115.31612,0.98973,0.000492
2115.38626,0.98907,0.000502
2115.4564,0.98825,0.000457
2115.52654,0.98778,0.000407
2115.59668,0.98753,0.000415
2115.73696,0.9865,0.000544
2115.80709,0.98591,0.000622
2115.87723,0.98563,0.000733
2115.94737,0.98531,0.000894
2116.01751,0.98491,0.000593
2116.08765,0.98497,0.000962
2116.15779,0.98403,0.000996
2116.22793,0.98324,0.001059
2116.29807,0.9828,0.001082
2116.36821,0.98297,0.001102
2116.43834,0.98268,0.001115
2116.50848,0.98234,0.001096
2116.57862,0.98216,0.00111
2116.64876,0.98167,0.001058
2116.7189,0.98143,0.001064
2116.78904,0.98096,0.001045
2116.85918,0.98072,0.001036
2116.92932,0.98072,0.001027
2116.99946,0.98068,0.00103
2117.06959,0.98058,0.001073
2117.13973,0.98059,0.001058
2117.20987,0.98013,0.000993
2117.28001,0.98036,0.001027
2117.35015,0.98045,0.001028
2117.42029,0.98001,0.000917
2117.49043,0.97994,0.000908
2117.56057,0.97999,0.000856
2117.63071,0.98006,0.000804
2117.70084,0.9803,0.000771
2117.77098,0.98013,0.000676
2117.84112,0.98,0.000604
2117.91126,0.98009,0.000552
2117.9814,0.9796,0.000494
2118.05154,0.97998,0.000478
2118.12168,0.9801,0.000416
2118.19182,0.98022,0.000336
2118.26196,0.9802,0.000344
2118.33209,0.98013,0.000318
2118.40223,0.97986,0.000315
2118.47237,0.97999,0.000268
2118.54251,0.98041,0.000309
2118.61265,0.98017,0.000253
2118.68279,0.98029,0.000248
2118.75293,0.98031,0.000224
2118.82307,0.97992,0.000232
2118.89321,0.98037,0.000244
2118.96334,0.98014,0.00023
2119.03348,0.98027,0.000239
2119.10362,0.98018,0.000256
2119.17376,0.98049,0.000256
2119.2439,0.98037,0.000256
2119.31404,0.9806,0.000259
2119.38418,0.98056,0.000185
2119.45432,0.98071,0.000226
2119.52446,0.98108,0.000259
2119.59459,0.98094,0.000295
2119.66473,0.98108,0.000296
2119.73487,0.98105,0.00029
2119.80501,0.98098,0.000292
2119.87515,0.98092,0.000315
2119.94529,0.98127,0.000324
2121.41821,0.98875,0.000274
2121.48834,0.98967,0.00026
2121.55848,0.9904,0.000283
2121.62862,0.99109,0.000268
2121.69876,0.99194,0.000246
2121.7689,0.99283,0.000226
2121.83904,0.99323,0.000215
2121.90918,0.99394,0.000217
2121.97932,0.99487,0.000234
2122.04946,0.99581,0.000201
2122.11959,0.99619,0.000209
2122.18973,0.99713,0.000197
2122.25987,0.99757,0.000218
2122.33001,0.99783,0.000224
2122.40015,0.99814,0.000215
2122.47029,0.99872,0.000199
2122.54043,0.99949,0.000245
2122.61057,0.99898,0.000229
2122.68071,0.99921,0.000218
2122.75084,0.99888,0.000216
2123.10154,0.99981,0.000212
2123.17168,0.99973,0.000182
2123.24182,1.00006,0.000208
2123.31196,0.99993,0.000182
2123.38209,0.99967,0.000178
2123.45223,0.99945,0.00018
2123.52237,0.99967,0.000194
2123.59251,0.99926,0.000246
2123.66265,0.99909,0.000217
2123.73279,0.99862,0.000197
2123.80293,0.99815,0.000215
2123.87307,0.9976,0.000207
2123.94321,0.99725,0.000192
2124.01334,0.99665,0.000189
2124.08348,0.99602,0.000212
2124.15362,0.9953,0.000199
2124.22376,0.99446,0.000183
2124.2939,0.99459,0.000228
2124.36404,0.9934,0.000177
2124.43418,0.99281,0.000172
2124.50432,0.99231,0.000244
2124.57446,0.99139,0.000226
2124.64459,0.991,0.000229
2124.71473,0.99053,0.000216
2124.78487,0.99001,0.000245
2124.85501,0.98908,0.00021
2124.92515,0.98881,0.000216
2124.99529,0.98787,0.000224
2125.06543,0.98729,0.000228
